appl_seq_num,price,order_qty,side,transact_time,order_type,bid_appl_seq_num,offer_appl_seq_num
16077295,76800,17600,,20200110145000190,F,15771887,16077281
16077367,76900,10000,1,20200110145000210,2,,
16077368,76900,10000,,20200110145000210,F,16077367,16044704
16077381,76800,30000,1,20200110145000220,2,,
16077419,0,130000,,20200110145000250,4,0,15723794
16077421,0,130000,,20200110145000250,4,0,15719781
16077423,0,140000,,20200110145000250,4,0,15715311
16077429,0,140000,,20200110145000250,4,0,15711041
16077431,0,130000,,20200110145000260,4,0,15706465
16077456,0,140000,,20200110145000260,4,0,15701554
16077461,0,130000,,20200110145000270,4,0,15696131
16077472,0,130000,,20200110145000270,4,0,15692307
16077559,0,430000,,20200110145000300,4,0,15848628
16077791,76900,40000,1,20200110145000400,2,,
16077792,76900,40000,,20200110145000400,F,16077791,16044704
16077799,76800,430000,2,20200110145000410,2,,
16077800,76800,132400,,20200110145000410,F,15771887,16077799
16077801,76800,297600,,20200110145000410,F,15785449,16077799
16077866,0,20000,,20200110145000440,4,0,15852625
16077870,0,660000,,20200110145000450,4,0,15848469
16078085,76800,680000,2,20200110145000510,2,,
16078086,76800,680000,,20200110145000510,F,15785449,16078085
16078651,76800,90000,1,20200110145000770,2,,
16079750,0,460000,,20200110145001220,4,0,100436
16080059,0,610000,,20200110145001380,4,0,120308
16080488,76800,10000,1,20200110145001670,2,,
16080727,76800,60000,1,20200110145001870,2,,
16080748,76600,10000,1,20200110145001890,2,,
16082640,76800,1070000,2,20200110145003160,2,,
16082641,76800,1070000,,20200110145003160,F,15785449,16082640
16082933,76700,70000,2,20200110145003270,2,,
16082934,76800,70000,,20200110145003270,F,15785449,16082933
16082942,76700,40000,2,20200110145003270,2,,
16082943,76800,40000,,20200110145003270,F,15785449,16082942
16082946,76700,40000,2,20200110145003270,2,,
16082947,76800,40000,,20200110145003270,F,15785449,16082946
16083009,76700,40000,2,20200110145003300,2,,
16083010,76800,40000,,20200110145003300,F,15785449,16083009
16083575,76800,100000,2,20200110145003480,2,,
16083576,76800,100000,,20200110145003480,F,15785449,16083575
16084061,76900,10000,1,20200110145003610,2,,
16084062,76900,10000,,20200110145003610,F,16084061,16044704
16084221,76800,110000,1,20200110145003650,2,,
16084390,76800,20000,2,20200110145003720,2,,
16084391,76800,20000,,20200110145003720,F,15785449,16084390
16087044,76800,90000,2,20200110145004710,2,,
16087045,76800,90000,,20200110145004710,F,15785449,16087044
16087232,76800,110000,2,20200110145004790,2,,
16087233,76800,110000,,20200110145004790,F,15785449,16087232
16087329,76900,40000,1,20200110145004880,2,,
16087330,76900,40000,,20200110145004880,F,16087329,16044704
16087370,0,200000,,20200110145004940,4,0,99398
16087748,76800,20000,2,20200110145005150,2,,
16087749,76800,20000,,20200110145005150,F,15785449,16087748
16087836,76800,60000,2,20200110145005180,2,,
16087837,76800,60000,,20200110145005180,F,15785449,16087836
16088014,76800,180000,2,20200110145005310,2,,
16088015,76800,180000,,20200110145005310,F,15785449,16088014
16088282,76900,520000,2,20200110145005460,2,,
16089085,76800,23000000,2,20200110145006060,2,,
16089086,76800,922400,,20200110145006060,F,15785449,16089085
16089087,76800,40000,,20200110145006060,F,15826878,16089085
16089088,76800,200000,,20200110145006060,F,15836466,16089085
16089089,76800,990000,,20200110145006060,F,15854347,16089085
16089090,76800,90000,,20200110145006060,F,15882876,16089085
16089091,76800,50000,,20200110145006060,F,15924384,16089085
16089092,76800,10000,,20200110145006060,F,15987507,16089085
16089093,76800,40000,,20200110145006060,F,16041950,16089085
16089094,76800,440000,,20200110145006060,F,16044800,16089085
16089095,76800,400000,,20200110145006060,F,16044802,16089085
16089096,76800,20000,,20200110145006060,F,16055527,16089085
16089097,76800,40000,,20200110145006060,F,16059584,16089085
16089098,76800,60000,,20200110145006060,F,16061680,16089085
16089099,76800,10000,,20200110145006060,F,16062864,16089085
